Start Training...
Epoch 1/2: Iteration 12300, loss = 0.229154
Epoch 1/2: Iteration 12400, loss = 0.013888
Epoch 1/2: Iteration 12500, loss = 0.041324
Epoch 1/2: Iteration 12600, loss = 0.012090
Epoch 1/2: Iteration 12700, loss = 0.032011
Epoch 1/2: Iteration 12800, loss = 0.277595
Epoch 1/2: Iteration 12900, loss = 0.322871
Epoch 1/2: Iteration 13000, loss = 0.098274
Epoch 1/2: Iteration 13100, loss = 0.219877
Epoch 1/2: Iteration 13200, loss = 0.475893
Epoch 1/2: Iteration 13300, loss = 0.104000
Epoch 1/2: Iteration 13400, loss = 0.528954
Epoch 1/2: Iteration 13500, loss = 0.072772
Epoch 1/2: Iteration 13600, loss = 0.164911
Epoch 1/2: Iteration 13700, loss = 0.013611
Epoch 1/2: Iteration 13800, loss = 0.227859
Epoch 1/2: Iteration 13900, loss = 0.075955
Epoch 1/2: Iteration 14000, loss = 0.054857
Epoch 1/2: Iteration 14100, loss = 0.013084
Epoch 1/2: Iteration 14200, loss = 0.154281
Epoch 1/2: Iteration 14300, loss = 0.046468
Epoch 1/2: Iteration 14400, loss = 0.064793
Epoch 1/2: Iteration 14500, loss = 0.005934
Epoch 1/2: Iteration 14600, loss = 0.002148
Epoch 1/2: Iteration 14700, loss = 0.168430
Epoch 1/2: Iteration 14800, loss = 0.244385
Epoch 1/2: Iteration 14900, loss = 0.018688
Epoch 1/2: Iteration 15000, loss = 0.203217
Epoch 1/2: Iteration 15100, loss = 0.040704
Epoch 1/2: Iteration 15200, loss = 0.029712
Epoch 1/2: Iteration 15300, loss = 0.065616
Epoch 1/2: Iteration 15400, loss = 0.039379
Epoch 1/2: Iteration 15500, loss = 0.012937
Epoch 1/2: Iteration 15600, loss = 0.679812
Epoch 1/2: Iteration 15700, loss = 0.142247
Epoch 1/2: Iteration 15800, loss = 0.369761
Epoch 1/2: Iteration 15900, loss = 0.209275
Epoch 1/2: Iteration 16000, loss = 0.025903
Epoch 1/2: Iteration 16100, loss = 0.003719
Epoch 1/2: Iteration 16200, loss = 0.020580
Epoch 1/2: Iteration 16300, loss = 0.005651
Epoch 1/2: Iteration 16400, loss = 0.066881
Epoch 1/2: Iteration 16500, loss = 0.040047
Epoch 1/2: Iteration 16600, loss = 0.587105
Epoch 1/2: Iteration 16700, loss = 0.048587
Epoch 1/2: Iteration 16800, loss = 0.134212
Epoch 1/2: Iteration 16900, loss = 0.086141
Epoch 1/2: Iteration 17000, loss = 0.006472
Epoch 1/2: Iteration 17100, loss = 0.043729
Epoch 1/2: Iteration 17200, loss = 0.224160
Epoch 1/2: Iteration 17300, loss = 0.004424
Epoch 1/2: Iteration 17400, loss = 0.046058
Epoch 1/2: Iteration 17500, loss = 0.493637
Epoch 1/2: Iteration 17600, loss = 0.041465
Epoch 1/2: Iteration 17700, loss = 0.017803
Epoch 1/2: Iteration 17800, loss = 0.099158
Epoch 1/2: Iteration 17900, loss = 0.055144
Epoch 1/2: Iteration 18000, loss = 0.002870
Epoch 1/2: Iteration 18100, loss = 0.205439
Epoch 1/2: Iteration 18200, loss = 0.011774
Epoch 1/2: Iteration 18300, loss = 0.205335
Epoch 1/2: Iteration 18400, loss = 0.305392
Epoch 1/2: Iteration 18500, loss = 0.013473
Epoch 1/2: Iteration 18600, loss = 0.433422
Epoch 1/2: Iteration 18700, loss = 0.056251
Epoch 1/2: Iteration 18800, loss = 0.019656
Epoch 1/2: Iteration 18900, loss = 2.680889
Epoch 1/2: Iteration 19000, loss = 2.344723
Epoch 1/2: Iteration 19100, loss = 0.239861
Epoch 1/2: Iteration 19200, loss = 0.212162
Epoch 1/2: Iteration 19300, loss = 0.004125
Epoch 1/2: Iteration 19400, loss = 0.012336
Epoch 1/2: Iteration 19500, loss = 0.169232
Epoch 1/2: Iteration 19600, loss = 0.032046
Epoch 1/2: Iteration 19700, loss = 0.101140
Epoch 1/2: Iteration 19800, loss = 0.035270
Epoch 1/2: Iteration 19900, loss = 0.073417
Epoch 1/2: Iteration 20000, loss = 0.032516
Epoch 1/2: Iteration 20100, loss = 0.110269
Epoch 1/2: Iteration 20200, loss = 0.008033
Epoch 1/2: Iteration 20300, loss = 0.089888
Epoch 1/2: Iteration 20400, loss = 0.486958
Epoch 1/2: Iteration 20500, loss = 0.088109
Epoch 1/2: Iteration 20600, loss = 0.008567
Epoch 1/2: Iteration 20700, loss = 0.182444
